date,day_of_the_month,day_of_the_year,year,hour_num,words,type
2015-08-25,26,238,2015,24.62,8,firstDay
2015-08-25,26,238,2015,24.63,91,firstDay
2015-08-25,26,238,2015,24.65,47,firstDay
2015-08-25,26,238,2015,24.67,78,firstDay
2015-08-25,26,238,2015,24.68,41,firstDay
2015-08-25,26,238,2015,24.7,61,firstDay
2015-08-25,26,238,2015,24.73,107,firstDay
2015-08-25,26,238,2015,24.75,45,firstDay
2015-08-25,26,238,2015,24.77,7,firstDay
2015-08-25,26,238,2015,24.78,65,firstDay
2015-08-25,26,238,2015,24.8,17,firstDay
2015-08-25,26,238,2015,24.82,102,firstDay
2015-08-25,26,238,2015,24.83,78,firstDay
2015-08-26,27,239,2015,24.1,67,firstDay
2015-08-27,27,239,2015,10.43,136,topDay
2015-08-27,27,239,2015,12.05,168,topDay
2015-08-27,27,239,2015,12.38,154,topDay
2015-08-27,27,239,2015,21.83,250,topDay
2015-08-27,27,239,2015,22.12,134,topDay
2015-08-27,27,239,2015,22.13,155,topDay
2015-08-27,27,239,2015,22.42,129,topDay
2015-08-27,27,239,2015,22.72,221,topDay
2015-08-27,27,239,2015,23,138,topDay
2015-08-27,27,239,2015,23.07,171,topDay
2015-08-27,27,239,2015,23.12,129,topDay
2015-08-27,27,239,2015,8.47,15,firstDay
2015-08-27,27,239,2015,8.5,55,firstDay
2015-08-27,27,239,2015,10.43,136,firstDay
2015-08-27,27,239,2015,10.85,98,firstDay
2015-08-27,27,239,2015,10.87,45,firstDay
2015-08-27,27,239,2015,11.57,38,firstDay
2015-08-27,27,239,2015,11.68,21,firstDay
2015-08-27,27,239,2015,11.72,81,firstDay
2015-08-27,27,239,2015,11.75,74,firstDay
2015-08-27,27,239,2015,11.78,80,firstDay
2015-08-27,27,239,2015,11.83,87,firstDay
2015-08-27,27,239,2015,11.93,20,firstDay
2015-08-27,27,239,2015,11.95,79,firstDay
2015-08-27,27,239,2015,11.97,32,firstDay
2015-08-27,27,239,2015,12.03,36,firstDay
2015-08-27,27,239,2015,12.05,168,firstDay
2015-08-27,27,239,2015,12.15,111,firstDay
2015-08-27,27,239,2015,12.2,59,firstDay
2015-08-27,27,239,2015,12.32,86,firstDay
2015-08-27,27,239,2015,12.38,154,firstDay
2015-08-27,27,239,2015,12.4,126,firstDay
2015-08-27,27,239,2015,13.93,14,firstDay
2015-08-27,27,239,2015,13.95,69,firstDay
2015-08-27,27,239,2015,14,21,firstDay
2015-08-27,27,239,2015,14.02,37,firstDay
2015-08-27,27,239,2015,14.6,38,firstDay
2015-08-27,27,239,2015,14.72,44,firstDay
2015-08-27,27,239,2015,15.23,41,firstDay
2015-08-27,27,239,2015,15.27,99,firstDay
2015-08-27,27,239,2015,15.38,104,firstDay
2015-08-27,27,239,2015,15.43,74,firstDay
2015-08-27,27,239,2015,15.45,32,firstDay
2015-08-27,27,239,2015,15.52,126,firstDay
2015-08-27,27,239,2015,15.6,71,firstDay
2015-08-27,27,239,2015,16.6,19,firstDay
2015-08-27,27,239,2015,16.78,24,firstDay
2015-08-27,27,239,2015,21.5,54,firstDay
2015-08-27,27,239,2015,21.77,62,firstDay
2015-08-27,27,239,2015,21.78,52,firstDay
2015-08-27,27,239,2015,21.8,55,firstDay
2015-08-27,27,239,2015,21.82,36,firstDay
2015-08-27,27,239,2015,21.83,250,firstDay
2015-08-27,27,239,2015,21.85,60,firstDay
2015-08-27,27,239,2015,21.88,72,firstDay
2015-08-27,27,239,2015,21.95,65,firstDay
2015-08-27,27,239,2015,21.97,73,firstDay
2015-08-27,27,239,2015,22.03,87,firstDay
2015-08-27,27,239,2015,22.08,114,firstDay
2015-08-27,27,239,2015,22.1,54,firstDay
2015-08-27,27,239,2015,22.12,134,firstDay
2015-08-27,27,239,2015,22.13,155,firstDay
2015-08-27,27,239,2015,22.17,50,firstDay
2015-08-27,27,239,2015,22.18,55,firstDay
2015-08-27,27,239,2015,22.22,15,firstDay
2015-08-27,27,239,2015,22.3,85,firstDay
2015-08-27,27,239,2015,22.35,30,firstDay
2015-08-27,27,239,2015,22.38,10,firstDay
2015-08-27,27,239,2015,22.42,129,firstDay
2015-08-27,27,239,2015,22.48,95,firstDay
2015-08-27,27,239,2015,22.5,114,firstDay
2015-08-27,27,239,2015,22.55,71,firstDay
2015-08-27,27,239,2015,22.57,43,firstDay
2015-08-27,27,239,2015,22.62,57,firstDay
2015-08-27,27,239,2015,22.65,79,firstDay
2015-08-27,27,239,2015,22.67,116,firstDay
2015-08-27,27,239,2015,22.68,102,firstDay
2015-08-27,27,239,2015,22.7,41,firstDay
2015-08-27,27,239,2015,22.72,221,firstDay
2015-08-27,27,239,2015,22.73,75,firstDay
2015-08-27,27,239,2015,22.77,77,firstDay
2015-08-27,27,239,2015,23,138,firstDay
2015-08-27,27,239,2015,23.02,29,firstDay
2015-08-27,27,239,2015,23.03,41,firstDay
2015-08-27,27,239,2015,23.05,46,firstDay
2015-08-27,27,239,2015,23.07,171,firstDay
2015-08-27,27,239,2015,23.08,94,firstDay
2015-08-27,27,239,2015,23.12,129,firstDay
2015-08-27,27,239,2015,23.13,68,firstDay
2015-08-27,27,239,2015,23.15,61,firstDay
2015-08-27,27,239,2015,23.2,35,firstDay
2015-08-27,27,239,2015,23.22,60,firstDay
2015-08-27,27,239,2015,23.28,53,firstDay
2015-08-27,27,239,2015,23.3,73,firstDay
2015-08-27,27,239,2015,23.32,127,firstDay
2015-08-27,27,239,2015,23.65,81,firstDay
2015-08-27,27,239,2015,23.72,50,firstDay
2015-08-27,27,239,2015,23.77,38,firstDay
2015-08-28,28,240,2015,20.27,155,topDay
2015-08-28,28,240,2015,20.32,145,topDay
2015-08-28,28,240,2015,21.3,165,topDay
2015-08-28,28,240,2015,21.77,143,topDay
2015-08-28,28,240,2015,22.05,162,topDay
2015-08-28,28,240,2015,22.4,172,topDay
2015-08-28,28,240,2015,22.47,143,topDay
2015-08-28,28,240,2015,22.53,202,topDay
2015-08-28,28,240,2015,22.55,151,topDay
2015-08-28,28,240,2015,22.6,217,topDay
2015-08-28,28,240,2015,23.75,210,topDay
2015-08-28,28,240,2015,14.12,93,firstDay
